,sub,num_ind,rc_ind,undo_ind,num_list,budget_list,rc_list,undo_click,n_undo,diff_n,diff,diff_undo,t_rc,t_undo,f_t_rc,f_t_undo,t_everyact_rc,t_everyundo,t_everyc_undo,t_s_rc,t_s_undo
0,1,96,0,24,6,350,8,1,31,-2,0,0,32.38000000000011,69.88999999999987,13.440000000000055,5.940000000000055,"[2.1099999999996726, 0.5, 1.6900000000000546, 1.150000000000091, 1.1799999999998363, 1.3800000000001091, 5.7400000000002365]","[2.199999999999818, 3.3299999999999272, 0.2699999999999818, 0.2300000000000182, 0.18000000000029104, 0.21000000000003638, 0.1999999999998181, 0.25, 1.5300000000002, 0.1999999999998181, 0.2300000000000182, 0.21000000000003638, 0.22000000000025466, 0.23999999999978172, 0.2899999999999636, 1.0, 0.21000000000003638, 0.19000000000005457, 0.19000000000005457, 0.21000000000003638, 0.21000000000003638, 0.5900000000001455, 1.7600000000002183, 0.42000000000007276, 0.8899999999998727, 0.2600000000002183, 0.25, 0.2300000000000182, 0.4699999999997999, 0.5300000000002001, 0.419999999999618]","[0.7800000000002001, 0.6999999999998181, 0.7600000000002183, 0.5399999999999636, 0.9899999999997817, 0.8299999999999272, 1.3600000000001273, 0.5799999999999272, 0.8600000000001273, 0.819999999999709, 1.0700000000001637, 0.650000000000091, 0.9600000000000364, 0.6100000000001273, 0.6899999999995998, 0.75, 0.49000000000023647, 0.9400000000000546, 0.6299999999996544, 1.2000000000002728, 0.7999999999997272, 2.2099999999995816, 1.5400000000004184, 1.8299999999999272, 0.6799999999998363, 0.7400000000002365, 0.9800000000000182, 0.75, 0.7099999999995816, 0.9499999999998181, 0.7800000000002001, 1.2600000000002183, 0.7999999999997272, 1.3500000000003638, 4.539999999999964, 2.6900000000000546, 1.4800000000000182, 3.75]",5.190000000000055,2.2799999999997453
1,1,97,1,25,4,350,6,1,12,-1,0,0,18.740000000000236,35.820000000000164,10.470000000000255,4.010000000000218,"[1.199999999999818, 0.9900000000002365, 0.9800000000000182, 0.9099999999998545, 0.9699999999997999]","[0.599999999999909, 0.24000000000023647, 0.25, 0.25, 0.2199999999997999, 0.2699999999999818, 3.230000000000018, 0.330000000000382, 0.2199999999997999, 0.19000000000005457, 0.19000000000005457, 0.2199999999997999]","[1.3799999999996544, 0.7100000000000364, 0.7200000000002547, 0.5799999999999272, 0.9600000000000364, 9.340000000000146, 1.0399999999999636, 0.7899999999999636, 0.5500000000001819, 0.5099999999997635, 0.6799999999998363, 0.5799999999999272, 1.2899999999999636, 1.1000000000003638, 0.5599999999999454, 0.8699999999998909]",3.2200000000002547,3.3400000000001455
2,1,98,2,26,7,500,9,0,0,-2,0,0,21.920000000000073,11.61999999999989,8.059999999999945,1.7199999999998,"[0.6700000000000728, 1.2899999999999636, 0.8800000000001091, 0.5599999999999454, 0.8699999999998909, 0.6900000000000546, 0.6799999999998363, 1.900000000000091]",[],"[0.8400000000001455, 0.5299999999997453, 0.5399999999999636, 0.6900000000000546, 0.7899999999999636, 0.6600000000003092, 1.5799999999999272, 2.0099999999997635]",6.320000000000164,2.2600000000002183
3,1,99,3,27,8,500,9,1,17,-3,-1,0,14.159999999999854,30.81999999999971,5.5900000000001455,4.349999999999909,"[0.4699999999997999, 1.1399999999998727, 0.7899999999999636, 0.5199999999999818, 0.7300000000000182, 0.44000000000005457, 0.6900000000000546]","[1.4600000000000364, 0.1999999999998181, 0.20000000000027285, 0.19000000000005457, 0.2199999999997999, 0.21000000000003638, 0.2199999999997999, 0.18000000000029104, 0.49000000000023647, 0.2300000000000182, 0.21000000000003638, 0.19000000000005457, 0.1999999999998181, 0.2199999999997999, 0.21000000000003638, 0.21000000000003638, 0.2300000000000182]","[0.5299999999997453, 1.0399999999999636, 0.8200000000001637, 0.42000000000007276, 0.8899999999998727, 0.42000000000007276, 0.5, 0.9600000000000364, 0.8299999999999272, 0.34999999999990905, 0.9900000000002365, 0.9699999999997999, 0.40000000000009095, 0.5299999999997453, 1.400000000000091, 0.5799999999999272, 0.40000000000009095, 1.2199999999998, 0.7000000000002728, 0.6300000000001091, 0.9600000000000364, 1.3399999999996908, 0.6099999999996726, 0.7000000000002728]",3.7899999999999636,2.7199999999998
4,1,100,4,28,3,200,9,1,13,0,-1,-1,23.2199999999998,29.75,3.1399999999998727,2.4400000000000546,"[12.070000000000164, 0.5799999999999272, 0.7200000000002547, 0.7299999999995634, 1.900000000000091, 0.900000000000091, 1.1700000000000728]","[1.400000000000091, 0.23999999999978172, 0.21000000000003638, 0.1999999999998181, 0.42000000000007276, 0.38000000000010914, 0.5700000000001637, 0.23999999999978172, 0.7400000000002365, 0.25999999999976353, 0.22000000000025466, 0.23999999999978172, 0.6199999999998909]","[1.9400000000000546, 0.6300000000001091, 0.5199999999999818, 1.0299999999997453, 1.4200000000000728, 0.75, 1.1700000000000728, 0.5199999999999818, 0.5300000000002001, 0.7399999999997817, 0.6799999999998363, 1.0100000000002183, 0.4800000000000182, 1.0599999999999454, 1.4600000000000364, 2.3200000000001637, 1.0099999999997635, 1.300000000000182, 0.9200000000000728]",2.0099999999997635,1.699999999999818
5,1,101,5,29,9,500,8,1,14,-3,-1,0,17.09999999999991,33.91000000000031,4.2199999999998,1.6100000000001273,"[1.800000000000182, 1.3299999999999272, 1.0, 3.7600000000002183, 0.4699999999997999, 0.7300000000000182]","[0.7599999999997635, 0.22000000000025466, 0.22999999999956344, 0.2300000000000182, 0.7800000000002001, 0.25, 0.21000000000003638, 0.23999999999978172, 0.2300000000000182, 0.24000000000023647, 0.2300000000000182, 0.23999999999978172, 0.41000000000030923, 3.5]","[1.3699999999998909, 2.3299999999999272, 0.8500000000003638, 2.2100000000000364, 1.0199999999999818, 1.1900000000000546, 0.7000000000002728, 0.6999999999998181, 1.0799999999999272, 0.7400000000002365, 0.4699999999997999, 0.849999999999909, 1.419999999999618, 1.2699999999999818, 0.8200000000001637, 0.8699999999998909, 0.8299999999999272, 0.8200000000001637, 1.150000000000091, 0.900000000000091, 1.3099999999999454]",3.7899999999999636,1.6300000000001091
6,1,102,6,30,3,200,9,1,3,1,0,0,14.650000000000091,22.960000000000036,1.7400000000002365,2.5299999999997453,"[1.8800000000001091, 1.2699999999999818, 2.980000000000018, 0.4899999999997817, 0.7100000000000364, 1.699999999999818, 1.7600000000002183, 1.449999999999818]","[1.3699999999998909, 0.25, 0.2300000000000182]","[1.8900000000003274, 0.5299999999997453, 1.050000000000182, 0.4600000000000364, 2.5599999999999454, 1.4899999999997817, 0.7300000000000182, 1.2100000000000364, 0.4800000000000182, 0.7800000000002001, 3.699999999999818]",0.6700000000000728,3.700000000000273
7,1,103,7,31,8,500,8,1,7,-3,-1,0,24.09999999999991,31.070000000000164,16.859999999999673,9.239999999999782,"[0.7300000000000182, 0.8600000000001273, 0.650000000000091, 1.0099999999997635, 1.3100000000004002, 1.0799999999999272]","[0.38000000000010914, 0.2199999999997999, 0.20000000000027285, 0.1999999999998181, 0.21000000000003638, 0.23999999999978172, 0.2300000000000182]","[0.8800000000001091, 0.7600000000002183, 0.4600000000000364, 0.8299999999999272, 1.0299999999997453, 1.0900000000001455, 0.36000000000012733, 1.1700000000000728, 1.0799999999999272, 0.650000000000091, 0.599999999999909, 0.6199999999998909, 1.1000000000003638, 0.8399999999996908]",1.599999999999909,8.680000000000291
8,1,104,8,32,5,350,8,1,19,-1,0,0,14.430000000000291,34.570000000000164,6.570000000000164,2.5200000000004366,"[2.269999999999982, 0.7199999999997999, 0.6100000000001273, 1.3099999999999454, 0.38000000000010914, 0.75, 0.5199999999999818]","[1.5499999999997272, 0.22000000000025466, 0.1999999999998181, 0.21000000000003638, 0.21000000000003638, 0.24000000000023647, 0.23999999999978172, 0.33999999999969077, 0.2300000000000182, 0.19000000000005457, 0.1999999999998181, 0.3100000000004002, 0.5499999999997272, 0.20000000000027285, 0.1999999999998181, 0.21000000000003638, 0.2300000000000182, 0.2300000000000182, 0.2600000000002183]","[0.5899999999996908, 0.5500000000001819, 0.650000000000091, 0.5399999999999636, 1.2799999999997453, 0.680000000000291, 2.119999999999891, 0.4099999999998545, 0.5900000000001455, 0.5900000000001455, 0.8800000000001091, 1.099999999999909, 0.4299999999998363, 0.47000000000025466, 1.9599999999995816, 0.75, 1.6700000000000728, 0.9700000000002547, 2.149999999999636, 0.7100000000000364, 1.0100000000002183, 1.3399999999996908, 1.4400000000000546, 0.650000000000091, 1.4700000000002547]",1.300000000000182,0.4800000000000182
9,1,105,9,33,5,350,9,0,0,-2,-2,0,14.550000000000182,15.179999999999836,4.330000000000382,4.889999999999873,"[0.75, 0.45999999999958163, 0.5500000000001819, 2.4700000000002547, 3.399999999999636, 0.7100000000000364]",[],"[0.8400000000001455, 0.650000000000091, 1.6099999999996726, 1.5599999999999454, 0.7000000000002728, 0.8800000000001091, 1.3099999999999454, 0.819999999999709]",1.8800000000001091,1.9200000000000728
